<div>Welcome,1
Python.org,1
"@context":,1
"http://schema.org",,1
"@type":,2
"WebSite",,1
"url":,1
"https://www.python.org/",,1
"potentialAction":,1
"SearchAction",,1
"target":,1
"https://www.python.org/search/?q={search_term_string}",,1
"query-input":,1
"required,1
name=search_term_string",1
var,3
_gaq,2
||,2
[];,1
_gaq.push(['_setAccount',,1
'UA-39055973-1']);,1
_gaq.push(['_trackPageview']);,1
(function(),1
ga,1
document.createElement('script');,1
ga.type,1
'text/javascript';,1
ga.async,1
true;,1
ga.src,1
('https:',1
==,1
document.location.protocol,1
'https://ssl',1
'http://www'),1
'.google-analytics.com/ga.js';,1
document.getElementsByTagName('script')[0];,1
s.parentNode.insertBefore(ga,,1
s);,1
})();,1
Notice:,1
Javascript,2
essential,1
website,,1
interaction,1
content,2
limited.,1
Please,1
turn,1
full,1
experience.,1
Skip,1
Close,1
Python,57
PSF,4
Docs,6
PyPI,1
Jobs,2
Community,9
Network,1
Menu,1
Search,1
Site,1
GO,1
Smaller,1
Larger,1
Reset,1
Socialize,1
Google+,1
Facebook,1
Twitter,1
Chat,1
IRC,3
Sign,3
Register,1
Applications,2
Quotes,2
Getting,2
Started,3
Help,4
Brochure,2
Downloads,2
releases,2
Source,2
code,3
Windows,2
Mac,2
OS,2
Platforms,2
License,2
Alternative,2
Implementations,2
Documentation,3
Audio/Visual,2
Talks,2
Beginner's,2
Guide,6
Developer's,3
FAQ,2
Non-English,2
PEP,2
Index,2
Books,2
Essays,2
Survey,2
Diversity,3
Mailing,2
Lists,4
Forums,2
Conferences,2
Special,2
Interest,2
Groups,2
Logo,2
Wiki,2
Merchandise,2
Awards,2
Code,2
Conduct,2
Success,3
Stories,3
Arts,2
Business,2
Education,2
Engineering,2
Government,2
Scientific,3
Software,7
Development,2
News,11
PyCon,4
Events,11
User,4
Group,4
Archive,4
Submit,3
Event,2
&gt;_,1
Launch,1
Interactive,1
Shell,1
3:,4
Fibonacci,1
series,1
&gt;&gt;&gt;,24
def,1
fib(n):,1
a,,2
0,,1
&lt;,1
n:,1
print(a,,1
end=',1
'),1
b,,1
a+b,1
print(),1
fib(1000),1
13,1
21,1
34,1
55,1
89,1
144,1
233,1
377,1
610,1
987,1
Functions,1
Defined,1
core,1
extensible,1
programming,4
defining,2
functions.,2
allows,1
mandatory,1
optional,1
arguments,,2
keyword,1
even,1
arbitrary,1
argument,1
lists.,1
functions,2
List,2
comprehensions,1
fruits,1
['Banana',,1
'Apple',,1
'Lime'],1
loud_fruits,1
[fruit.upper(),1
fruit,1
fruits],1
print(loud_fruits),1
['BANANA',,1
'APPLE',,1
'LIME'],1
enumerate,1
function,1
list(enumerate(fruits)),1
[(0,,1
'Banana'),,1
(1,,1
'Apple'),,1
(2,,1
'Lime')],1
Compound,1
Data,1
Types,1
(known,1
arrays,1
languages),1
one,1
compound,1
data,1
types,1
understands.,1
indexed,,1
sliced,1
manipulated,1
built-in,1
lists,1
Simple,2
arithmetic,1
0.5,1
**,1
17,2
classic,1
division,2
returns,1
float,1
5.666666666666667,1
//,1
floor,1
Intuitive,1
Interpretation,1
Calculations,1
simple,2
Python,,1
expression,1
syntax,2
straightforward:,1
operators,1
+,,1
-,,1
work,3
expected;,1
parentheses,1
(),1
used,2
grouping.,1
math,1
3.,1
output,1
(with,1
Unicode),1
print("Hello,,1
I'm,2
Python!"),1
Hello,,1
Python!,1
Input,,1
assignment,1
name,1
input('What,1
name?\n'),1
print('Hi,,1
%s.',1
name),1
name?,1
Hi,,1
Python.,2
Quick,1
&amp;,2
Easy,1
Learn,3
Experienced,1
programmers,1
language,2
pick,1
quickly,,1
beginners,1
find,1
clean,1
indentation,1
structure,1
easy,2
learn.,1
Whet,1
appetite,1
overview.,1
loop,1
list,2
numbers,1
[2,,1
4,,1
6,,1
8],1
product,5
number,2
numbers:,1
...,7
print('The,1
is:',,1
product),1
is:,1
384,1
Flow,1
You’d,1
Expect,1
knows,1
usual,1
control,2
flow,2
statements,1
languages,1
speak,1
if,,1
for,,1
range,1
twists,,1
course.,1
tools,1
lets,1
quickly,1
integrate,1
systems,1
effectively.,1
sustain,1
Foundation!,1
Participate,1
Recurring,1
Giving,1
Campaign,1
Get,1
Whether,1
new,1
experienced,1
developer,,1
learn,1
use,1
Start,1
Beginner’s,1
Download,1
source,1
installers,1
available,3
download,2
versions!,1
Latest:,1
3.7.1,3
Python's,1
standard,1
library,,1
along,1
tutorials,1
guides,,1
online.,1
docs.python.org,1
Looking,1
related,1
position,1
trying,1
hire,1
for?,1
relaunched,1
community-run,1
job,1
board,1
place,1
go.,1
jobs.python.org,1
Latest,1
2018-10-20,1
3.6.7,1
available.,4
first,3
maintenance,3
release,3
2018-10-13,1
3.7.1rc2,2
3.6.7rc2,1
preview,2
2018-09-27,1
3.7.1rc1,2
3.6.7rc1,1
2018-08-02,1
3.5.6,1
3.4.9,1
2018-06-28,1
3.7.0,1
(and,1
3.6.6)!,1
behalf,1
Upcoming,1
2018-12-08,1
Meetup,1
Chelyabinsk,1
#4,1
2018-12-12,1
Sweden,1
2019-02-09,1
PyTennessee,1
2019,3
2019-02-19,1
Namibia,1
2019-02-23,1
PyCascades,1
automate,1
problem,1
occurred,1
infrequently,,1
huge,1
nuisance,1
occur.,1
Using,1
Automate,1
Tedious,1
Tasks,1
Nat,1
Dunn,1
Use,1
for…,1
Web,1
Development:,3
Django,,1
Pyramid,,1
Bottle,,1
Tornado,,1
Flask,,1
web2py,1
GUI,1
tkInter,,1
PyGObject,,1
PyQt,,1
PySide,,1
Kivy,,1
wxPython,1
Numeric:,1
SciPy,,1
Pandas,,1
IPython,1
Buildbot,,1
Trac,,1
Roundup,1
System,1
Administration:,1
Ansible,,1
Salt,,1
OpenStack,1
Enhancement,1
Proposals,1
(PEPs):,1
future,1
discussed,1
here.,1
RSS,1
Foundation,3
mission,1
promote,,1
protect,,1
advance,1
language,,1
support,1
facilitate,1
growth,1
diverse,1
international,1
community,1
programmers.,1
Become,1
Member,1
Donate,1
Back,2
Top,2
Contributing,1
Issue,1
Tracker,1
python-dev,1
Core,1
Mentorship,1
General,1
Contact,1
Initiatives,1
Website,1
Bug,1
Status,1
Copyright,1
©2001-2018.,1
Legal,1
Statements,1
Privacy,1
Policy,1
Powered,1
Rackspace,1
window.jQuery,1
document.write('</div>,1
